location,neighborhoods,population,table_date
"Boston, Massachusetts",Beacon Hill,"9,943",2023-11-23
"Boston, Massachusetts",Brighton,"45,977",2023-11-23
"Charlotte, North Carolina",Ponderosa-Wingate,"1,491",2023-11-23
"Charlotte, North Carolina",Arbor Glen,925,2023-11-23
"Charlotte, North Carolina",Highland Creek,"11,456",2023-11-23
"Charlotte, North Carolina",Sardis Forest,"4,050",2023-11-23
"Charlotte, North Carolina",Eastway-Sheffield Park,"4,881",2023-11-23
"Charlotte, North Carolina",Sardis Woods,"4,357",2023-11-23
"Charlotte, North Carolina",Colonial Village,"1,129",2023-11-23
"Charlotte, North Carolina",Wessex Square,"5,987",2023-11-23
"Charlotte, North Carolina",Lincoln Heights,"2,269",2023-11-23
"Charlotte, North Carolina",Westchester,"3,466",2023-11-23
"Charlotte, North Carolina",Wilmore,"1,551",2023-11-23
"Charlotte, North Carolina",University Park,"1,249",2023-11-23
"Charlotte, North Carolina",Firestone-Garden Park,"4,107",2023-11-23
"Charlotte, North Carolina",Druid Hills South,989,2023-11-23
"Charlotte, North Carolina",Oak Forest,"6,664",2023-11-23
"Charlotte, North Carolina",East Forest,"11,626",2023-11-23
"Charlotte, North Carolina",Smallwood,"1,167",2023-11-23
"Charlotte, North Carolina",Sherwood Forest,"3,514",2023-11-23
"Charlotte, North Carolina",Yorkmount,"9,528",2023-11-23
"Charlotte, North Carolina",University City North,"2,587",2023-11-23
"Charlotte, North Carolina",McCrorey Heights,335,2023-11-23
"Charlotte, North Carolina",Reid Park,859,2023-11-23
"Charlotte, North Carolina",Ballantyne East,"8,255",2023-11-23
"Charlotte, North Carolina",Commonwealth,546,2023-11-23
"Charlotte, North Carolina",North Charlotte,"2,859",2023-11-23
"Charlotte, North Carolina",Madison Park,"4,557",2023-11-23
"Charlotte, North Carolina",Harwood Lane,"5,813",2023-11-23
"Charlotte, North Carolina",Briarcreek-Woodland,"4,336",2023-11-23
"Charlotte, North Carolina",Third Ward,"2,831",2023-11-23
"Charlotte, North Carolina",Charlotte Douglas International Airport,247,2023-11-23
"Chicago, Illinois",Bronzeville,"29,313",2023-11-23
"Chicago, Illinois",Streeterville,"21,156",2023-11-23
"Chicago, Illinois",New Eastside,"6,686",2023-11-23
"Chicago, Illinois",West De Paul,"2,768",2023-11-23
"Chicago, Illinois",Bowmanville,"3,985",2023-11-23
"Chicago, Illinois",The Villa,592,2023-11-23
"Chicago, Illinois",Old Edgebrook,116,2023-11-23
"Chicago, Illinois",Trumbull Park,822,2023-11-23
"Chicago, Illinois",Chicago Lawn,"18,913",2023-11-23
"Chicago, Illinois",West Woodlawn,"8,104",2023-11-23
"Chicago, Illinois",Rosemoor,"8,845",2023-11-23
"Chicago, Illinois",Mount Greenwood Heights,817,2023-11-23
"Chicago, Illinois",Old Town Triangle,"7,483",2023-11-23
"Chicago, Illinois",Dunning,"6,881",2023-11-23
"Chicago, Illinois",Gold Coast,"13,639",2023-11-23
"Chicago, Illinois",Oakland,"4,571",2023-11-23
"Chicago, Illinois",Pulaski Park,"3,956",2023-11-23
"Chicago, Illinois",Logan Square,"84,998",2023-11-23
"Chicago, Illinois",Edgewater Glen,"2,194",2023-11-23
"Chicago, Illinois",Old Norwood Park,"3,148",2023-11-23
"Chicago, Illinois",The Robert Taylor Homes,905,2023-11-23
"Chicago, Illinois",Stony Island Park,"3,615",2023-11-23
"Chicago, Illinois",Sleepy Hollow,"1,473",2023-11-23
"Chicago, Illinois",Edgebrook,"4,430",2023-11-23
"Chicago, Illinois",South Loop,"31,855",2023-11-23
"Chicago, Illinois",Hegewisch,"13,438",2023-11-23
"Chicago, Illinois",LeClaire Courts,"1,721",2023-11-23
"Chicago, Illinois",Schorsch Forest View,"2,216",2023-11-23
"Chicago, Illinois",Roscoe Village,"10,048",2023-11-23
"Chicago, Illinois",Kilbourn Park,"7,043",2023-11-23
"Cleveland, Ohio",South Collinwood,"10,549",2023-11-23
"Cleveland, Ohio",University District,"7,906",2023-11-23
"Cleveland, Ohio",Woodland Hills,"8,589",2023-11-23
"Cleveland, Ohio",Downtown,"9,098",2023-11-23
"Cleveland, Ohio",Industrial Valley,893,2023-11-23
"Cleveland, Ohio",Union Miles Park,"10,266",2023-11-23
"Cleveland, Ohio",Central,"12,738",2023-11-23
"Cleveland, Ohio",Fairfax,"5,167",2023-11-23
"Cleveland, Ohio",Brooklyn Centre,"8,214",2023-11-23
"Cleveland, Ohio",Kinsman,"4,021",2023-11-23
"Cleveland, Ohio",Kamm's Corner,"20,511",2023-11-23
"Cleveland, Ohio",Stockyards,"7,364",2023-11-23
"Cleveland, Ohio",Riverside,"2,452",2023-11-23
"Cleveland, Ohio",Old Brooklyn,"32,009",2023-11-23
"Cleveland, Ohio",South Broadway,"16,623",2023-11-23
"Cleveland, Ohio",St. Claire-Superior,"7,199",2023-11-23
"Cleveland, Ohio",Buckeye Shaker,"12,470",2023-11-23
"Cleveland, Ohio",North Collinwood,"16,761",2023-11-23
"Cleveland, Ohio",Mt Pleasant,"16,805",2023-11-23
"Cleveland, Ohio",Lee Miles,"13,820",2023-11-23
"Cleveland, Ohio",West Boulevard,"16,017",2023-11-23
"Cleveland, Ohio",Jefferson,"16,548",2023-11-23
"Cleveland, Ohio",Edgewater,"7,633",2023-11-23
"Cleveland, Ohio",Clark Fulton,"11,126",2023-11-23
"Cleveland, Ohio",Corlett,"11,581",2023-11-23
"Cleveland, Ohio",Tremont,"6,912",2023-11-23
"Cleveland, Ohio",Ohio City - West Side,"9,210",2023-11-23
"Cleveland, Ohio",Glenville,"15,940",2023-11-23
"Cleveland, Ohio",Puritas-Longmead,"15,855",2023-11-23
"Cleveland, Ohio",Cudell,"9,612",2023-11-23
"Colorado Springs, Colorado",Peterson Air Force Base,"1,460",2023-11-23
"Colorado Springs, Colorado",West Colorado Springs,"14,703",2023-11-23
"Colorado Springs, Colorado",Northwest Colorado Springs,"27,609",2023-11-23
"Colorado Springs, Colorado",Falcon,"7,033",2023-11-23
"Colorado Springs, Colorado",Southeast Colorado Springs,"59,647",2023-11-23
"Colorado Springs, Colorado",Northgate,"5,564",2023-11-23
"Colorado Springs, Colorado",Powers,"35,017",2023-11-23
"Colorado Springs, Colorado",Briargate,"43,486",2023-11-23
"Colorado Springs, Colorado",Old Colorado City,"16,545",2023-11-23
"Colorado Springs, Colorado",Southwest Colorado Springs,"36,913",2023-11-23
"Colorado Springs, Colorado",East Colorado Springs,"58,791",2023-11-23
"Colorado Springs, Colorado",Central Colorado Springs,"56,976",2023-11-23
"Colorado Springs, Colorado",Flying Horse,"2,222",2023-11-23
"Colorado Springs, Colorado",Northeast Colorado Springs,"58,782",2023-11-23
"Columbus, Ohio",Westbelt,359,2023-11-23
"Columbus, Ohio",Southwest,"7,611",2023-11-23
"Columbus, Ohio",Brandywine,"3,859",2023-11-23
"Columbus, Ohio",Shepard,982,2023-11-23
"Columbus, Ohio",Seven Oaks,212,2023-11-23
"Columbus, Ohio",Scioto Trace,"1,974",2023-11-23
"Columbus, Ohio",Brookside Woods,"3,137",2023-11-23
"Columbus, Ohio",Brentwood Park,874,2023-11-23
"Columbus, Ohio",King-Lincoln-Bronzeville,"3,322",2023-11-23
"Columbus, Ohio",Worthingview,892,2023-11-23
"Columbus, Ohio",Hilltop,2,2023-11-23
"Columbus, Ohio",Three Rivers,"1,968",2023-11-23
"Columbus, Ohio",West London,4,2023-11-23
"Columbus, Ohio",Central Clintonville,"5,051",2023-11-23
"Columbus, Ohio",Foxboro,"2,765",2023-11-23
"Columbus, Ohio",East Beechwold,"2,585",2023-11-23
"Columbus, Ohio",East,"9,498",2023-11-23
"Columbus, Ohio",Olde Orchard,"3,975",2023-11-23
"Columbus, Ohio",Maize-Morse,"10,557",2023-11-23
"Columbus, Ohio",Cross Creek,"5,295",2023-11-23
"Columbus, Ohio",Linwood,"6,132",2023-11-23
"Columbus, Ohio",Downtown,"5,221",2023-11-23
"Columbus, Ohio",Glen Echo,938,2023-11-23
"Columbus, Ohio",Milbrook,"1,530",2023-11-23
"Columbus, Ohio",Wood Bridge Green,"1,023",2023-11-23
"Columbus, Ohio",Westbrook,258,2023-11-23
"Columbus, Ohio",Brittany Hills,"2,405",2023-11-23
"Columbus, Ohio",Madison Mills,"2,342",2023-11-23
"Columbus, Ohio",Tri-Village,"7,493",2023-11-23
"Columbus, Ohio",Woodland Park,"1,813",2023-11-23
"Dallas, Texas",Winnetka Heights,"57,458",2023-11-23
"Dallas, Texas",Coppell,7,2023-11-23
"Dallas, Texas",Cedar Crest,"59,349",2023-11-23
"Dallas, Texas",Arts District,73,2023-11-23
"Dallas, Texas",Lake Highlands,"52,065",2023-11-23
"Dallas, Texas",Southwest Dallas,"93,399",2023-11-23
"Dallas, Texas",Government District,813,2023-11-23
"Dallas, Texas",Southeast Dallas,"131,845",2023-11-23
"Dallas, Texas",Wolf Creek,"34,440",2023-11-23
"Dallas, Texas",Bluffview,"14,643",2023-11-23
"Dallas, Texas",South Dallas,"28,188",2023-11-23
"Dallas, Texas",Oak Lawn,"47,394",2023-11-23
"Dallas, Texas",Northeast Dallas,"224,570",2023-11-23
