Date	State	Category	Dollars
2022-11-27	Arkansas	Alcohol	"$7,552,793"
2022-12-04	Arkansas	Alcohol	"$5,911,923"
2022-12-11	Arkansas	Alcohol	"$6,207,959"
2022-12-18	Arkansas	Alcohol	"$6,428,570"
2022-12-25	Arkansas	Alcohol	"$7,876,357"
2022-01-02	California	Alcohol	"$183,761,341"
2022-01-09	California	Alcohol	"$129,832,410"
2022-01-16	California	Alcohol	"$143,641,928"
2022-01-23	California	Alcohol	"$148,153,611"
2022-01-30	California	Alcohol	"$152,449,153"
2022-02-06	California	Alcohol	"$153,495,104"
2022-02-13	California	Alcohol	"$182,130,943"
2022-02-20	California	Alcohol	"$160,766,875"
2022-02-27	California	Alcohol	"$152,472,183"
2022-03-06	California	Alcohol	"$157,523,443"
2022-03-13	California	Alcohol	"$159,071,151"
2022-03-20	California	Alcohol	"$164,438,007"
2022-03-27	California	Alcohol	"$163,215,579"
2022-04-03	California	Alcohol	"$156,174,456"
2022-04-10	California	Alcohol	"$167,059,160"
2022-04-17	California	Alcohol	"$174,546,612"
2022-04-24	California	Alcohol	"$160,030,563"
2022-05-01	California	Alcohol	"$164,629,826"
2022-05-08	California	Alcohol	"$173,957,689"
2022-05-15	California	Alcohol	"$165,866,641"
2022-05-22	California	Alcohol	"$165,423,177"
2022-05-29	California	Alcohol	"$184,471,894"
2022-06-05	California	Alcohol	"$171,189,162"
2022-06-12	California	Alcohol	"$176,416,648"
2022-06-19	California	Alcohol	"$182,424,414"
2022-06-26	California	Alcohol	"$177,316,592"
2022-07-03	California	Alcohol	"$203,813,082"
2022-07-10	California	Alcohol	"$178,581,931"
2022-07-17	California	Alcohol	"$170,891,650"
2022-07-24	California	Alcohol	"$171,228,114"
2022-07-31	California	Alcohol	"$170,753,752"
2022-08-07	California	Alcohol	"$172,397,236"
2022-08-14	California	Alcohol	"$176,403,654"
2022-08-21	California	Alcohol	"$170,586,205"
2022-08-28	California	Alcohol	"$169,648,025"
2022-09-04	California	Alcohol	"$191,288,536"
2022-09-11	California	Alcohol	"$171,844,932"
2022-09-18	California	Alcohol	"$164,537,169"
2022-09-25	California	Alcohol	"$165,311,333"
2022-10-02	California	Alcohol	"$167,903,669"
2022-10-09	California	Alcohol	"$165,244,863"
2022-10-16	California	Alcohol	"$161,388,783"
2022-10-23	California	Alcohol	"$164,097,578"
2022-10-30	California	Alcohol	"$171,074,826"
2022-11-06	California	Alcohol	"$158,857,791"
2022-11-13	California	Alcohol	"$158,102,627"
2022-11-20	California	Alcohol	"$180,770,363"
2022-11-27	California	Alcohol	"$201,849,167"
2022-12-04	California	Alcohol	"$149,813,795"
2022-12-11	California	Alcohol	"$160,671,903"
2022-12-18	California	Alcohol	"$180,777,944"
2022-12-25	California	Alcohol	"$238,481,755"
2022-01-02	Colorado	Alcohol	"$9,110,356"
2022-01-09	Colorado	Alcohol	"$7,224,724"
2022-01-16	Colorado	Alcohol	"$7,634,493"
2022-01-23	Colorado	Alcohol	"$7,675,673"
2022-01-30	Colorado	Alcohol	"$8,150,593"
2022-02-06	Colorado	Alcohol	"$8,389,594"
2022-02-13	Colorado	Alcohol	"$9,393,841"
2022-02-20	Colorado	Alcohol	"$9,143,980"
2022-02-27	Colorado	Alcohol	"$8,179,865"
2022-03-06	Colorado	Alcohol	"$8,566,604"
2022-03-13	Colorado	Alcohol	"$8,384,593"
2022-03-20	Colorado	Alcohol	"$8,924,063"
2022-03-27	Colorado	Alcohol	"$8,650,408"
2022-04-03	Colorado	Alcohol	"$8,678,726"
2022-04-10	Colorado	Alcohol	"$8,851,975"
2022-04-17	Colorado	Alcohol	"$9,506,784"
2022-04-24	Colorado	Alcohol	"$9,049,594"
2022-05-01	Colorado	Alcohol	"$9,172,639"
2022-05-08	Colorado	Alcohol	"$9,918,958"
2022-05-15	Colorado	Alcohol	"$10,254,301"
2022-05-22	Colorado	Alcohol	"$9,839,440"
2022-05-29	Colorado	Alcohol	"$11,356,977"
2022-06-05	Colorado	Alcohol	"$10,737,533"
2022-06-12	Colorado	Alcohol	"$11,324,836"
2022-06-19	Colorado	Alcohol	"$11,914,446"
2022-06-26	Colorado	Alcohol	"$11,186,394"
2022-07-03	Colorado	Alcohol	"$12,864,496"
2022-07-10	Colorado	Alcohol	"$12,331,290"
2022-07-17	Colorado	Alcohol	"$11,211,896"
2022-07-24	Colorado	Alcohol	"$11,301,510"
2022-07-31	Colorado	Alcohol	"$10,871,323"
2022-08-07	Colorado	Alcohol	"$11,087,188"
2022-08-14	Colorado	Alcohol	"$11,227,111"
2022-08-21	Colorado	Alcohol	"$10,580,296"
2022-08-28	Colorado	Alcohol	"$10,556,845"
2022-09-04	Colorado	Alcohol	"$12,050,448"
2022-09-11	Colorado	Alcohol	"$10,760,997"
2022-09-18	Colorado	Alcohol	"$10,272,318"
2022-09-25	Colorado	Alcohol	"$10,061,123"
2022-10-02	Colorado	Alcohol	"$9,836,885"
2022-10-09	Colorado	Alcohol	"$9,557,008"
2022-10-16	Colorado	Alcohol	"$9,631,465"
2022-10-23	Colorado	Alcohol	"$9,562,807"
2022-10-30	Colorado	Alcohol	"$9,926,418"
2022-11-06	Colorado	Alcohol	"$9,421,608"
2022-11-13	Colorado	Alcohol	"$9,190,481"
2022-11-20	Colorado	Alcohol	"$9,518,456"
2022-11-27	Colorado	Alcohol	"$11,331,304"
2022-12-04	Colorado	Alcohol	"$8,503,727"
2022-12-11	Colorado	Alcohol	"$9,373,523"
2022-12-18	Colorado	Alcohol	"$9,887,037"
2022-12-25	Colorado	Alcohol	"$12,444,184"
2022-01-02	Connecticut	Alcohol	"$1,846,244"
2022-01-09	Connecticut	Alcohol	"$1,440,980"
2022-01-16	Connecticut	Alcohol	"$1,525,445"
2022-01-23	Connecticut	Alcohol	"$1,617,646"
2022-01-30	Connecticut	Alcohol	"$1,731,219"
2022-02-06	Connecticut	Alcohol	"$1,611,089"
2022-02-13	Connecticut	Alcohol	"$1,871,702"
2022-02-20	Connecticut	Alcohol	"$1,885,745"
2022-02-27	Connecticut	Alcohol	"$1,694,244"
2022-03-06	Connecticut	Alcohol	"$1,631,474"
2022-03-13	Connecticut	Alcohol	"$1,659,088"
2022-03-20	Connecticut	Alcohol	"$1,889,032"
2022-03-27	Connecticut	Alcohol	"$1,707,477"
2022-04-03	Connecticut	Alcohol	"$1,689,793"
2022-04-10	Connecticut	Alcohol	"$1,685,745"
2022-04-17	Connecticut	Alcohol	"$1,954,509"
2022-04-24	Connecticut	Alcohol	"$1,810,050"
2022-05-01	Connecticut	Alcohol	"$1,793,055"
2022-05-08	Connecticut	Alcohol	"$1,998,890"
2022-05-15	Connecticut	Alcohol	"$2,004,535"
2022-05-22	Connecticut	Alcohol	"$2,253,487"
2022-05-29	Connecticut	Alcohol	"$2,658,045"
2022-06-05	Connecticut	Alcohol	"$2,762,978"
2022-06-12	Connecticut	Alcohol	"$2,360,589"
2022-06-19	Connecticut	Alcohol	"$2,424,401"
2022-06-26	Connecticut	Alcohol	"$2,486,233"
2022-07-03	Connecticut	Alcohol	"$3,091,281"
2022-07-10	Connecticut	Alcohol	"$3,091,884"
2022-07-17	Connecticut	Alcohol	"$2,452,054"
2022-07-24	Connecticut	Alcohol	"$2,555,227"
2022-07-31	Connecticut	Alcohol	"$2,502,591"
2022-08-07	Connecticut	Alcohol	"$2,399,700"
2022-08-14	Connecticut	Alcohol	"$2,364,117"
2022-08-21	Connecticut	Alcohol	"$2,323,724"
2022-08-28	Connecticut	Alcohol	"$2,351,012"
2022-09-04	Connecticut	Alcohol	"$2,483,697"
2022-09-11	Connecticut	Alcohol	"$2,364,984"
2022-09-18	Connecticut	Alcohol	"$2,029,538"
2022-09-25	Connecticut	Alcohol	"$2,088,618"
2022-10-02	Connecticut	Alcohol	"$1,972,064"
2022-10-09	Connecticut	Alcohol	"$1,899,890"
2022-10-16	Connecticut	Alcohol	"$1,975,654"
