GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US1216725	"Deerfield Beach city, Florida"	42920
1600000US1217100	"Delray Beach city, Florida"	33726
1600000US1217200	"Deltona city, Florida"	34050
1600000US1217935	"Doral city, Florida"	28858
1600000US1224000	"Fort Lauderdale city, Florida"	101840
1600000US1224125	"Fort Myers city, Florida"	51180
1600000US1224581	"Four Corners CDP, Florida"	39509
1600000US1225175	"Gainesville city, Florida"	66582
1600000US1230000	"Hialeah city, Florida"	80412
1600000US1232000	"Hollywood city, Florida"	76054
1600000US1232275	"Homestead city, Florida"	28408
1600000US1235000	"Jacksonville city, Florida"	429392
1600000US1236100	"Kendall CDP, Florida"	32940
1600000US1236950	"Kissimmee city, Florida"	32754
1600000US1238250	"Lakeland city, Florida"	57635
1600000US1239425	"Largo city, Florida"	48086
1600000US1239550	"Lauderhill city, Florida"	28233
1600000US1239925	"Lehigh Acres CDP, Florida"	46548
1600000US1243975	"Melbourne city, Florida"	40675
1600000US1245000	"Miami city, Florida"	228213
1600000US1245025	"Miami Beach city, Florida"	62596
1600000US1245060	"Miami Gardens city, Florida"	37364
1600000US1245975	"Miramar city, Florida"	46489
1600000US1249675	"North Port city, Florida"	39117
1600000US1250750	"Ocala city, Florida"	29402
1600000US1253000	"Orlando city, Florida"	147352
1600000US1254000	"Palm Bay city, Florida"	48332
1600000US1254200	"Palm Coast city, Florida"	46026
1600000US1254350	"Palm Harbor CDP, Florida"	31029
1600000US1255775	"Pembroke Pines city, Florida"	64070
1600000US1256825	"Pine Hills CDP, Florida"	24533
1600000US1257425	"Plantation city, Florida"	38426
1600000US1257900	"Poinciana CDP, Florida"	29771
1600000US1258050	"Pompano Beach city, Florida"	61553
1600000US1258350	"Port Charlotte CDP, Florida"	31930
1600000US1258715	"Port St. Lucie city, Florida"	90756
1600000US1260950	"Riverview CDP, Florida"	40972
1600000US1263000	"St. Petersburg city, Florida"	141257
1600000US1268350	"Spring Hill CDP, Florida"	49919
1600000US1269700	"Sunrise city, Florida"	41017
1600000US1270600	"Tallahassee city, Florida"	97966
1600000US1270675	"Tamarac city, Florida"	36526
1600000US1271000	"Tampa city, Florida"	183457
1600000US1271625	"The Villages CDP, Florida"	54009
1600000US1272145	"Town 'n' Country CDP, Florida"	34103
1600000US1275875	"Wesley Chapel CDP, Florida"	28890
1600000US1276582	"Weston city, Florida"	21458
1600000US1276600	"West Palm Beach city, Florida"	61130
1600000US1301052	"Albany city, Georgia"	33227
1600000US1301696	"Alpharetta city, Georgia"	26384
1600000US1303440	"Athens-Clarke County unified government (balance), Georgia"	56998
1600000US1304000	"Atlanta city, Georgia"	260102
1600000US1304204	"Augusta-Richmond County consolidated government (balance), Georgia"	91310
1600000US1319000	"Columbus city, Georgia"	92103
1600000US1342425	"Johns Creek city, Georgia"	29833
1600000US1349008	"Macon-Bibb County, Georgia"	71942
1600000US1367284	"Roswell city, Georgia"	37144
1600000US1368516	"Sandy Springs city, Georgia"	53784
1600000US1369000	"Savannah city, Georgia"	70632
1600000US1372122	"South Fulton city, Georgia"	44354
1600000US1380508	"Warner Robins city, Georgia"	37321
1600000US1571550	"Urban Honolulu CDP, Hawaii"	155651
1600000US1608830	"Boise City city, Idaho"	104665
1600000US1612250	"Caldwell city, Idaho"	21998
1600000US1639700	"Idaho Falls city, Idaho"	26507
1600000US1652120	"Meridian city, Idaho"	51518
1600000US1656260	"Nampa city, Idaho"	40329
1600000US1702154	"Arlington Heights village, Illinois"	32213
1600000US1703012	"Aurora city, Illinois"	66271
