element_type,osmid,name,address,geometry,building:levels,store_location,city_location
way,442859646,Kohl's,"1799 Hawthorne Blvd, Redondo Beach","POLYGON ((-118.3546613 33.8704092, -118.3546609 33.8703695, -118.3546382 33.8703538, -118.3546384 33.8702698, -118.354639 33.8701587, -118.354639 33.8700877, -118.3546617 33.8700734, -118.3546583 33.869878, -118.3548039 33.8698762, -118.3548293 33.8698571, -118.3552353 33.8698568, -118.3552592 33.869873, -118.3553676 33.8698734, -118.3553674 33.8699274, -118.355366 33.8701574, -118.3553656 33.8702342, -118.3553502 33.87025, -118.3553495 33.8704159, -118.3546613 33.8704092))",,"Kohl's, 1799 Hawthorne Blvd, Redondo Beach","Los Angeles, California"
way,443432958,Walmart Neighborhood Market,"14441 S Inglewood Ave, Hawthorne","POLYGON ((-118.3621717 33.9004614, -118.3621717 33.9004444, -118.3621467 33.9004444, -118.3621463 33.9000129, -118.3621723 33.9000129, -118.3621723 33.8999786, -118.3621957 33.8999786, -118.3621956 33.8997941, -118.3626317 33.8997939, -118.3626271 33.8999087, -118.3626136 33.8999468, -118.3626798 33.8999808, -118.3626872 33.9004647, -118.362186 33.9004614, -118.3621717 33.9004614))",,"Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne","Los Angeles, California"
way,443433038,Marshalls,"14401 S Inglewood Ave, Hawthorne","POLYGON ((-118.3627392 33.9004646, -118.3627392 33.9004995, -118.3627025 33.9005098, -118.3627422 33.9006083, -118.3627384 33.9006094, -118.3627389 33.9006623, -118.3627017 33.9006626, -118.3627026 33.9007532, -118.3627398 33.9007529, -118.3627401 33.9007798, -118.3626993 33.9007801, -118.3627013 33.900983, -118.3627347 33.9009916, -118.3627057 33.9010704, -118.3627425 33.9010798, -118.3627427 33.9011079, -118.3625877 33.9011085, -118.3621859 33.9011085, -118.3621859 33.9011002, -118.3621886 33.9011002, -118.3621883 33.9010431, -118.3621478 33.9010432, -118.3621476 33.900992, -118.3621415 33.9009921, -118.3621411 33.9006142, -118.3621466 33.9006141, -118.3621466 33.9005631, -118.3621885 33.900563, -118.3621884 33.9004718, -118.362186 33.9004718, -118.362186 33.9004614, -118.3626872 33.9004647, -118.3627392 33.9004646))",,"Marshalls, 14401 S Inglewood Ave, Hawthorne","Los Angeles, California"
way,443435424,Marshalls,"3420 W Century Blvd, Inglewood","POLYGON ((-118.3312837 33.9443389, -118.3312837 33.9443448, -118.3312308 33.9443449, -118.3312308 33.9443519, -118.3310274 33.9443522, -118.3310274 33.944347, -118.3309706 33.9443471, -118.3309706 33.9443388, -118.3307941 33.9443392, -118.3307936 33.9441428, -118.3307932 33.944043, -118.3307929 33.94402, -118.3307919 33.9437874, -118.3312456 33.9437859, -118.3312453 33.9437108, -118.3313131 33.9437106, -118.3313154 33.9443389, -118.3312837 33.9443389))",,"Marshalls, 3420 W Century Blvd, Inglewood","Los Angeles, California"
way,450452855,Walmart,"2100 N Long Beach Blvd, Compton","POLYGON ((-118.2087151 33.909434, -118.2087886 33.9105384, -118.2086833 33.9105432, -118.2087088 33.9109258, -118.2085375 33.9109338, -118.2085367 33.9109211, -118.2084396 33.9109256, -118.2084139 33.9105398, -118.208165 33.9105513, -118.2081921 33.9109582, -118.2081155 33.9109618, -118.2080929 33.9109447, -118.2080916 33.9109238, -118.2079676 33.910929, -118.2078579 33.910901, -118.207837 33.9105828, -118.2077102 33.9105886, -118.2076374 33.9094839, -118.2087151 33.909434))",,"Walmart, 2100 N Long Beach Blvd, Compton","Los Angeles, California"
way,450792866,JCPenney,"6420 Pacific Blvd, Huntington Park","POLYGON ((-118.2249973 33.9809362, -118.224998 33.9812118, -118.2245029 33.9812127, -118.2245027 33.9811796, -118.2244899 33.9811797, -118.2244897 33.9811524, -118.2245034 33.9811523, -118.2245021 33.9809343, -118.2249973 33.9809362))",,"JCPenney, 6420 Pacific Blvd, Huntington Park","Los Angeles, California"
way,451383058,Walmart Supercenter,"4651 Firestone Blvd, South Gate","POLYGON ((-118.18832 33.9552451, -118.1881088 33.9552247, -118.188095 33.9553238, -118.1876342 33.9552794, -118.1876181 33.955394, -118.1872443 33.955358, -118.1872653 33.9552079, -118.1868112 33.9551642, -118.1869259 33.9543444, -118.187106 33.9543617, -118.1871161 33.9542898, -118.1872386 33.9543016, -118.1872416 33.9542804, -118.1873889 33.9542946, -118.1873829 33.9543373, -118.1878791 33.9543851, -118.1878845 33.9543466, -118.1880313 33.9543607, -118.1880289 33.9543778, -118.1881242 33.954387, -118.1881168 33.9544399, -118.188148 33.9544429, -118.1881454 33.9544619, -118.1884263 33.9544889, -118.18832 33.9552451))",,"Walmart Supercenter, 4651 Firestone Blvd, South Gate","Los Angeles, California"
way,451442293,Kohl's,"300 Stonewood St, Downey","POLYGON ((-118.1190825 33.9364753, -118.1190864 33.9364772, -118.1190905 33.9364824, -118.1190913 33.9364886, -118.1190884 33.9364962, -118.1190847 33.9364999, -118.1190767 33.9365028, -118.1190665 33.9365024, -118.1190511 33.936495, -118.1189712 33.9366018, -118.1189883 33.9366551, -118.1188528 33.9368449, -118.1186265 33.9367326, -118.1186125 33.9366992, -118.1184866 33.9366368, -118.1184604 33.9366736, -118.1181258 33.936508, -118.1182855 33.9362839, -118.1183497 33.9362691, -118.1184254 33.9361613, -118.1184175 33.9361574, -118.1184104 33.9361523, -118.1184074 33.9361472, -118.118406 33.9361422, -118.1184077 33.9361357, -118.1184119 33.936131, -118.1184187 33.9361279, -118.1184256 33.9361276, -118.1184304 33.9361282, -118.1184332 33.9361296, -118.1185783 33.9359253, -118.1185971 33.9359345, -118.118859 33.9360641, -118.1189803 33.9361269, -118.1192404 33.9362548, -118.1190825 33.9364753))",,"Kohl's, 300 Stonewood St, Downey","Los Angeles, California"
way,451442369,JCPenney,"332 Stonewood St, Downey","POLYGON ((-118.1205806 33.9369228, -118.1205558 33.9369105, -118.1207375 33.9366567, -118.1207615 33.9366687, -118.1207771 33.9366469, -118.1208009 33.9366152, -118.1209722 33.9363784, -118.1209849 33.9363603, -118.1211083 33.9364221, -118.121945 33.9368492, -118.1217954 33.9370582, -118.1218236 33.9370722, -118.1218073 33.937095, -118.1218141 33.9370984, -118.1217756 33.9371521, -118.12177 33.9371493, -118.1217541 33.9371716, -118.1217252 33.9371573, -118.1214549 33.9375349, -118.1213334 33.9374744, -118.1213988 33.9373831, -118.121336 33.9373519, -118.1213192 33.9373754, -118.1212772 33.9373545, -118.1212218 33.9374319, -118.1210691 33.9373559, -118.1210559 33.9373744, -118.1206218 33.9371584, -118.1206354 33.9371394, -118.1204806 33.9370625, -118.1205806 33.9369228))",,"JCPenney, 332 Stonewood St, Downey","Los Angeles, California"
way,454961458,Walmart Supercenter,"14501 Lakewood Blvd, Paramount","POLYGON ((-118.1456252 33.9031727, -118.1454457 33.9031732, -118.1454452 33.9030343, -118.1453855 33.9030344, -118.1453854 33.9030042, -118.1453477 33.9030043, -118.1453475 33.9029455, -118.1452287 33.9029458, -118.1452293 33.9031156, -118.1448784 33.9031165, -118.1448756 33.9023497, -118.1447969 33.9023499, -118.1447965 33.9022404, -118.1447684 33.9022405, -118.1447683 33.9022087, -118.1447739 33.9022087, -118.144773 33.902138, -118.1447732 33.9020296, -118.1447675 33.9020296, -118.1447674 33.9019966, -118.1447918 33.9019965, -118.1447917 33.9019551, -118.144783 33.9019551, -118.1447829 33.9019331, -118.144791 33.9019331, -118.1447909 33.9019042, -118.1447899 33.9016257, -118.1456571 33.9016235, -118.1456581 33.9019013, -118.145834 33.9019008, -118.1458343 33.9019849, -118.1458826 33.9019848, -118.145883 33.9020852, -118.1458356 33.9020853, -118.1458387 33.9029424, -118.1456244 33.9029429, -118.1456252 33.9031727))",,"Walmart Supercenter, 14501 Lakewood Blvd, Paramount","Los Angeles, California"
