element_type,osmid,highway,geometry,source,source_ref,bus,name,network,network:wikidata,operator,operator:wikidata,public_transport,ref,shelter,nodes,lanes,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:zip_left,tiger:zip_right,lanes:backward,lanes:forward,turn:lanes:backward,turn:lanes:forward,store,bench,bin,route_ref,source:highway,cycleway,lanes:both_ways,maxspeed,name_1,source:maxspeed,tiger:name_base_1,tiger:name_type_1,tiger:reviewed,oneway,surface,bridge,layer,stop_code,stop_name,access:lanes:both_ways,placement:both_ways,tiger:name_direction_prefix,note:lanes,placement:backward,turn:lanes,bicycle,tiger:name_direction_prefix_1,departures_board,lit,tactile_paving,network:wikipedia,operator:wikipedia,railway,subway,wheelchair,station,wikidata,description,sidewalk,area,level,location,tunnel,name:en,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,light_rail,tiger:zip_left_1,tiger:zip_right_1,cycleway:both,amenity,note,loc_ref,alt_name,parking:both,parking,parking:lane:left,parking:right,parking:lane:both,parking:lane:both:parallel,parking:condition:both,cycleway:right,cycleway:both:lane,incline,parking:condition:right,sidewalk:both:wheelchair,cycleway:right:lane,sidewalk:right:wheelchair,cutting,parking:condition:left,parking:lane:right,parking:lane:right:parallel,cycleway:left,sidewalk:left,sidewalk:right,foot,shoulder,lane_markings,smoothness,parking:lane:left:parallel,turn:lanes:both_ways,parking:left,parking:left:orientation,cycleway:left:lane,sidewalk:both,name:prefix,hgv,horse,motor_vehicle,parking:both:restriction,parking:lane:right:diagonal,check_date,building,internet_access,internet_access:fee,towards,tiger:linearid,tiger:mtfcc,tiger:zip,junction,old_ref,old_ref:legislative,parking:both:orientation,covered,railway:position,train,hgv:conditional,tiger:name_direction_suffix,placement:forward
node,11126810508,bus_stop,POINT (-118.4486603 34.2244493),,,yes,Van Nuys & Chase,Metro Local;DASH,Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,167;169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810509,bus_stop,POINT (-118.4489339 34.2245382),,,yes,Van Nuys & Chase,DASH,Q112028960,Los Angeles Department of Transportation,Q3259703,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810510,bus_stop,POINT (-118.4487571 34.2252208),,,yes,Van Nuys & Chase,Metro Rapid;Metro Local,Q75436;Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,233;761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810511,bus_stop,POINT (-118.4498426 34.2271151),,,yes,Van Nuys & Parthenia,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810512,bus_stop,POINT (-118.450119 34.2286995),,,yes,Van Nuys & Parthenia,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810513,bus_stop,POINT (-118.45036 34.2284775),,,yes,Van Nuys & Parthenia,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810514,bus_stop,POINT (-118.4497143 34.2263975),,,yes,Van Nuys & Parthenia,Metro Local;DASH,Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810515,bus_stop,POINT (-118.4504114 34.2319344),,,yes,Van Nuys & Rayen,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13281632,tertiary,"LINESTRING (-118.4502693 34.2317926, -118.4509384 34.2317961, -118.4516459 34.231801, -118.4527822 34.2318088, -118.4535376 34.2318139, -118.4552095 34.2318254, -118.4552851 34.2318259, -118.4553871 34.2318266, -118.4557913 34.2318293, -118.4566307 34.2318351, -118.4573927 34.2318403, -118.4574921 34.231841, -118.4590449 34.2318545, -118.4590874 34.2318549)",Yahoo,,,Rayen Street,,,,,,,,"[122582497, 7298366482, 122582500, 8229835936, 122582502, 9282077827, 122582505, 9282077826, 7071013695, 7895556789, 9282069171, 122582509, 10000644111, 7631296530]",,A41,"Los Angeles, CA",Rayen,St,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,NavigateLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13324779,tertiary,"LINESTRING (-118.4413136 34.2252176, -118.4421547 34.2250686, -118.4430645 34.2249408, -118.4439915 34.2248486, -118.4449617 34.2247988, -118.4455532 34.2247906)",,,,Chase Street,,,,,,,,"[122846005, 122703658, 122846008, 122846010, 122846013, 11088851512]",3,A41,,Chase,St,,,1,1,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,lane,1,35 mph,Rocky Road,https://clkrep.lacity.org/onlinedocs/2015/15-1006,Rocky,Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
